# 46734 Magong 2025-07-25 12Z (Start time 7/25/2025 11:34:55 AM), 1-s data
# Height(gpm),P(hPa),T(C),U(%),WS(m/s),WD(deg)
34,993.7,27.4,86.8,2.5,50.0
45,992.5,28.6,83.2,2.4,41.7
52,991.8,28.5,83.4,2.5,39.2
59,991.0,28.3,83.8,2.5,38.8
63,990.6,28.2,84.1,2.6,39.3
67,990.1,28.1,84.4,2.7,40.2
74,989.4,28.0,84.5,2.9,41.2
80,988.7,28.0,84.4,3.0,42.0
85,988.1,28.0,84.0,3.2,42.6
91,987.5,28.0,83.3,3.4,43.3
97,986.8,28.1,82.6,3.5,43.8
102,986.2,28.1,82.2,3.7,44.3
108,985.6,28.1,81.9,3.9,44.8
113,985.0,28.1,81.7,4.1,45.2
118,984.4,28.1,81.4,4.2,45.5
124,983.8,28.1,81.0,4.4,45.7
129,983.2,28.2,80.7,4.6,45.9
135,982.6,28.2,80.5,4.7,46.1
141,982.0,28.2,80.4,4.9,46.1
146,981.4,28.1,80.3,5.1,46.2
152,980.8,28.1,80.0,5.2,46.1
157,980.2,28.1,79.8,5.4,46.0
163,979.6,28.1,80.2,5.6,45.9
168,979.0,28.0,80.6,5.7,45.7
173,978.4,27.9,80.5,5.9,45.5
178,977.8,27.9,80.2,6.1,45.2
184,977.3,27.9,80.0,6.2,44.9
189,976.7,27.9,80.0,6.4,44.6
195,976.1,27.8,80.1,6.6,44.3
200,975.4,27.8,80.3,6.8,44.0
206,974.8,27.8,80.3,7.0,43.7
212,974.2,27.7,80.3,7.2,43.4
218,973.5,27.7,80.2,7.4,43.2
223,972.9,27.6,80.1,7.6,42.9
229,972.3,27.6,80.0,7.8,42.7
234,971.7,27.6,79.9,8.1,42.5
240,971.1,27.6,79.2,8.3,42.4
245,970.5,27.5,78.4,8.6,42.3
250,970.0,27.6,77.3,8.8,42.2
256,969.4,27.7,75.5,9.1,42.2
261,968.8,27.8,73.7,9.3,42.2
267,968.2,27.9,72.7,9.5,42.2
272,967.6,27.9,72.3,9.8,42.3
278,967.0,27.9,71.8,10.0,42.3
284,966.4,27.9,71.4,10.2,42.4
289,965.7,27.9,71.6,10.5,42.5
295,965.1,27.9,71.8,10.7,42.6
300,964.5,27.8,71.9,10.9,42.7
306,964.0,27.7,71.7,11.1,42.8
311,963.4,27.8,71.4,11.2,42.9
316,962.8,27.8,71.2,11.4,43.0
321,962.3,27.7,71.1,11.6,43.0
326,961.7,27.7,71.4,11.7,43.0
331,961.2,27.6,71.6,11.8,43.0
337,960.6,27.6,71.6,11.9,43.0
342,960.1,27.6,71.4,12.0,42.9
347,959.5,27.5,71.4,12.1,42.8
352,959.0,27.5,71.4,12.2,42.6
357,958.4,27.5,71.7,12.3,42.4
362,957.8,27.4,72.0,12.4,42.1
368,957.3,27.3,72.4,12.5,41.8
373,956.7,27.3,72.7,12.5,41.5
379,956.1,27.2,72.8,12.6,41.1
384,955.5,27.2,72.9,12.7,40.7
390,954.9,27.1,73.0,12.8,40.3
396,954.2,27.1,72.7,12.8,39.8
402,953.6,27.1,72.0,12.9,39.2
408,953.0,27.2,71.2,13.0,38.7
414,952.3,27.2,70.7,13.1,38.1
420,951.7,27.2,70.4,13.2,37.5
426,951.0,27.2,69.8,13.3,37.0
432,950.4,27.2,68.9,13.4,36.4
437,949.8,27.3,68.3,13.5,35.8
443,949.2,27.3,68.1,13.6,35.2
448,948.6,27.3,68.1,13.7,34.6
453,948.1,27.3,68.2,13.8,34.0
458,947.6,27.3,68.2,13.9,33.4
463,947.1,27.2,68.3,14.0,32.9
467,946.6,27.2,68.5,14.0,32.3
472,946.1,27.2,68.7,14.1,31.8
477,945.6,27.2,68.9,14.2,31.2
482,945.0,27.1,69.1,14.2,30.7
487,944.5,27.1,69.3,14.3,30.2
492,944.0,27.1,69.4,14.3,29.7
497,943.4,27.0,69.4,14.3,29.2
502,942.9,27.0,69.3,14.3,28.7
507,942.4,27.0,69.2,14.3,28.2
511,941.9,26.9,68.9,14.3,27.7
516,941.4,26.9,68.6,14.3,27.3
520,941.0,26.9,68.4,14.3,26.8
524,940.5,27.0,68.4,14.2,26.4
529,940.1,27.0,68.5,14.2,26.0
533,939.6,26.9,68.6,14.2,25.6
538,939.0,26.9,68.8,14.1,25.2
544,938.5,26.9,68.8,14.1,24.8
549,937.9,26.9,68.6,14.0,24.4
555,937.3,26.9,68.5,14.0,24.0
561,936.6,26.9,68.3,14.0,23.7
567,936.0,26.8,68.2,13.9,23.3
573,935.4,26.8,68.2,13.9,23.0
578,934.9,26.8,68.1,13.9,22.7
583,934.4,26.8,68.1,13.9,22.5
587,933.9,26.7,68.0,13.9,22.2
592,933.4,26.7,68.0,13.9,21.9
596,932.9,26.7,68.1,13.9,21.7
601,932.5,26.7,68.2,13.9,21.4
606,932.0,26.6,68.4,13.9,21.2
611,931.4,26.6,68.7,13.9,21.0
616,930.9,26.6,69.0,13.9,20.7
621,930.3,26.5,69.3,13.9,20.5
627,929.7,26.5,69.3,14.0,20.2
632,929.2,26.5,69.3,14.0,20.0
638,928.6,26.5,69.1,14.0,19.7
643,928.0,26.4,68.9,14.0,19.4
648,927.5,26.4,68.8,14.1,19.1
653,927.0,26.4,68.7,14.1,18.7
